order_id,first_name,last_name,date_of_birth,phone,email,street,city,postal_code,state,order_date,payment_type,product_name,price,quantity,order_total
1,Sage,Wieser,9/16/98,605-414-2147,sage_wieser@cox.net,5 Boston Ave #88,Sioux Falls,57105,SD,10/1/16,VISA                     ,Strongtam,18.99,4,75.96
3,Bette,Nicka,12/28/78,610-545-3615,bette_nicka@cox.net,6 S 33rd St,Aston,19014,PA,11/29/16,VISA                     ,Runhome,2.99,3,158.93
3,Bette,Nicka,12/28/78,610-545-3615,bette_nicka@cox.net,6 S 33rd St,Aston,19014,PA,11/29/16,VISA                     ,Runhome,71.99,2,158.93
3,Bette,Nicka,12/28/78,610-545-3615,bette_nicka@cox.net,6 S 33rd St,Aston,19014,PA,11/29/16,VISA                     ,Vilaity,2.99,2,158.93
4,Solange,Shinko,1/12/79,504-979-9175,solange@shinko.com,84 Bloomfield Ave,Spartanburg,29301,SC,6/9/13,ACH                      ,Solo-In,72.99,3,218.97
5,Tamar,Hoogland,2/20/79,740-343-8575,tamar@hotmail.com,1321 Balsam,Boulder,80026,CO,11/15/16,MASTER CARD              ,Stimstring,16.99,3,146.96
5,Tamar,Hoogland,2/20/79,740-343-8575,tamar@hotmail.com,1321 Balsam,Boulder,80026,CO,11/15/16,MASTER CARD              ,Trans Zimnix,95.99,1,146.96
6,Sage,Wieser,9/16/98,605-414-2147,sage_wieser@cox.net,5 Boston Ave #88,Sioux Falls,57105,SD,8/21/15,BANK ACCOUNT             ,K-qvokix,47.99,4,211.95
6,Sage,Wieser,9/16/98,605-414-2147,sage_wieser@cox.net,5 Boston Ave #88,Sioux Falls,57105,SD,8/21/15,BANK ACCOUNT             ,Qvo-Is,19.99,1,211.95
7,Malinda,Hochard,3/14/79,317-722-5066,malinda.hochard@yahoo.com,6 Gilson St,Bronx,10468,NY,1/28/14,MASTER CARD              ,Stimstring,80.99,2,179.97
7,Malinda,Hochard,3/14/79,317-722-5066,malinda.hochard@yahoo.com,6 Gilson St,Bronx,10468,NY,1/28/14,MASTER CARD              ,Temp Tip,17.99,1,179.97
8,Blondell,Pugh,2/6/79,401-960-8259,bpugh@aol.com,201 Hawk Ct,Providence,2904,RI,3/3/13,MASTER CARD              ,Sil-Ity,83.99,2,207.97
8,Blondell,Pugh,2/6/79,401-960-8259,bpugh@aol.com,201 Hawk Ct,Providence,2904,RI,3/3/13,MASTER CARD              ,K-qvokix,39.99,1,207.97
9,Amber,Monarrez,2/2/79,215-934-8655,amber_monarrez@monarrez.org,55262 N French Rd,Indianapolis,46240,IN,4/6/14,ACH                      ,Sil-Ity,100.99,4,477.93
9,Amber,Monarrez,2/2/79,215-934-8655,amber_monarrez@monarrez.org,55262 N French Rd,Indianapolis,46240,IN,4/6/14,ACH                      ,Qvo-Is,9.99,2,477.93
9,Amber,Monarrez,2/2/79,215-934-8655,amber_monarrez@monarrez.org,55262 N French Rd,Indianapolis,46240,IN,4/6/14,ACH                      ,Duo-Kix,53.99,1,477.93
10,Lai,Gato,3/5/79,847-728-7286,lai.gato@gato.org,555 Main St,Erie,16502,PA,6/9/16,MASTER CARD              ,Runhome,62.99,2,174.93
10,Lai,Gato,3/5/79,847-728-7286,lai.gato@gato.org,555 Main St,Erie,16502,PA,6/9/16,MASTER CARD              ,Ran Kayzap,6.99,3,174.93
10,Lai,Gato,3/5/79,847-728-7286,lai.gato@gato.org,555 Main St,Erie,16502,PA,6/9/16,MASTER CARD              ,Temp Tip,13.99,2,174.93
11,Delisa,Crupi,2/23/79,973-354-2040,delisa.crupi@crupi.com,47565 W Grand Ave,Newark,7105,NJ,2/28/15,MASTER CARD              ,Mat Danin,18.99,2,210.95
11,Delisa,Crupi,2/23/79,973-354-2040,delisa.crupi@crupi.com,47565 W Grand Ave,Newark,7105,NJ,2/28/15,MASTER CARD              ,Donis,31.99,1,210.95
11,Delisa,Crupi,2/23/79,973-354-2040,delisa.crupi@crupi.com,47565 W Grand Ave,Newark,7105,NJ,2/28/15,MASTER CARD              ,Spanfind,47.99,1,210.95
11,Delisa,Crupi,2/23/79,973-354-2040,delisa.crupi@crupi.com,47565 W Grand Ave,Newark,7105,NJ,2/28/15,MASTER CARD              ,Zer Dax,92.99,1,210.95
12,Amber,Monarrez,2/2/79,215-934-8655,amber_monarrez@monarrez.org,55262 N French Rd,Indianapolis,46240,IN,10/25/13,BANK ACCOUNT             ,Ran Kayzap,99.99,4,492.93
12,Amber,Monarrez,2/2/79,215-934-8655,amber_monarrez@monarrez.org,55262 N French Rd,Indianapolis,46240,IN,10/25/13,BANK ACCOUNT             ,Stimstring,30.99,3,492.93
13,Ezekiel,Chui,1/4/79,410-669-1642,ezekiel@chui.com,4646 Kaahumanu St,Hackensack,7601,NJ,2/14/14,ACH                      ,Anzamlax,57.99,2,181.96
13,Ezekiel,Chui,1/4/79,410-669-1642,ezekiel@chui.com,4646 Kaahumanu St,Hackensack,7601,NJ,2/14/14,ACH                      ,Strongtam,32.99,2,181.96
14,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,3/3/14,VISA                     ,Vilaity,53.99,2,421.9
14,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,3/3/14,VISA                     ,K-qvokix,33.99,2,421.9
14,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,3/3/14,VISA                     ,Trans Zimnix,47.99,4,421.9
14,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,3/3/14,VISA                     ,Redtom,26.99,2,421.9
15,Timothy,Mulqueen,2/27/79,718-332-6527,timothy_mulqueen@mulqueen.org,7 Benton Dr,Honolulu,96819,HI,2/20/13,MASTER CARD              ,Ron-Flex,3.99,1,463.93
15,Timothy,Mulqueen,2/27/79,718-332-6527,timothy_mulqueen@mulqueen.org,7 Benton Dr,Honolulu,96819,HI,2/20/13,MASTER CARD              ,Temp Tip,77.99,2,463.93
15,Timothy,Mulqueen,2/27/79,718-332-6527,timothy_mulqueen@mulqueen.org,7 Benton Dr,Honolulu,96819,HI,2/20/13,MASTER CARD              ,Strongtam,75.99,4,463.93
16,Tyra,Shields,3/7/79,215-255-1641,tshields@gmail.com,72 Mannix Dr,Cincinnati,45203,OH,4/23/14,ACH                      ,X-gostrong,96.99,3,461.92
16,Tyra,Shields,3/7/79,215-255-1641,tshields@gmail.com,72 Mannix Dr,Cincinnati,45203,OH,4/23/14,ACH                      ,Sil-Ity,38.99,4,461.92
16,Tyra,Shields,3/7/79,215-255-1641,tshields@gmail.com,72 Mannix Dr,Cincinnati,45203,OH,4/23/14,ACH                      ,Temp Tip,14.99,1,461.92
17,Gladys,Rim,12/25/78,414-661-9598,gladys.rim@rim.org,322 New Horizon Blvd,Milwaukee,53207,WI,2/2/17,MASTER CARD              ,Ran Kayzap,14.99,1,134.97
17,Gladys,Rim,12/25/78,414-661-9598,gladys.rim@rim.org,322 New Horizon Blvd,Milwaukee,53207,WI,2/2/17,MASTER CARD              ,X-gostrong,59.99,2,134.97
18,Allene,Iturbide,1/2/79,715-662-6764,allene_iturbide@cox.net,1 Central Ave,Stevens Point,54481,WI,4/14/16,MASTER CARD              ,Zer Dax,17.99,2,185.88
18,Allene,Iturbide,1/2/79,715-662-6764,allene_iturbide@cox.net,1 Central Ave,Stevens Point,54481,WI,4/14/16,MASTER CARD              ,Redtom,20.99,4,185.88
18,Allene,Iturbide,1/2/79,715-662-6764,allene_iturbide@cox.net,1 Central Ave,Stevens Point,54481,WI,4/14/16,MASTER CARD              ,Dentodox,12.99,4,185.88
18,Allene,Iturbide,1/2/79,715-662-6764,allene_iturbide@cox.net,1 Central Ave,Stevens Point,54481,WI,4/14/16,MASTER CARD              ,Mat Danin,6.99,2,185.88
21,Ilene,Eroman,2/14/79,410-914-9018,ilene.eroman@hotmail.com,2853 S Central Expy,Glen Burnie,21061,MD,1/2/17,ACH                      ,Statquaddax,40.99,3,210.93
21,Ilene,Eroman,2/14/79,410-914-9018,ilene.eroman@hotmail.com,2853 S Central Expy,Glen Burnie,21061,MD,1/2/17,ACH                      ,Mat Danin,21.99,4,210.93
22,Cory,Gibes,3/9/79,626-572-1096,cory.gibes@gmail.com,2 Se 3rd Ave,Mesquite,75149,TX,2/18/14,ACH                      ,Donnix,4.99,4,375.88
22,Cory,Gibes,3/9/79,626-572-1096,cory.gibes@gmail.com,2 Se 3rd Ave,Mesquite,75149,TX,2/18/14,ACH                      ,Trans Zimnix,17.99,4,375.88
22,Cory,Gibes,3/9/79,626-572-1096,cory.gibes@gmail.com,2 Se 3rd Ave,Mesquite,75149,TX,2/18/14,ACH                      ,Anzamlax,70.99,4,375.88
23,Willow,Kusko,1/5/79,212-582-4976,wkusko@yahoo.com,90991 Thorburn Ave,New York,10011,NY,6/21/14,VISA                     ,Redtom,93.99,4,375.96
24,Delisa,Crupi,2/23/79,973-354-2040,delisa.crupi@crupi.com,47565 W Grand Ave,Newark,7105,NJ,6/4/15,ACH                      ,Strongtam,53.99,1,221.97
24,Delisa,Crupi,2/23/79,973-354-2040,delisa.crupi@crupi.com,47565 W Grand Ave,Newark,7105,NJ,6/4/15,ACH                      ,Ecoeco,83.99,2,221.97
25,Sabra,Uyetake,1/29/79,803-925-5213,sabra@uyetake.org,98839 Hawthorne Blvd #6101,Columbia,29201,SC,1/10/14,VISA                     ,Ron-Flex,13.99,2,1033.84
25,Sabra,Uyetake,1/29/79,803-925-5213,sabra@uyetake.org,98839 Hawthorne Blvd #6101,Columbia,29201,SC,1/10/14,VISA                     ,Statquaddax,91.99,4,1033.84
25,Sabra,Uyetake,1/29/79,803-925-5213,sabra@uyetake.org,98839 Hawthorne Blvd #6101,Columbia,29201,SC,1/10/14,VISA                     ,Ron-Flex,21.99,3,1033.84
25,Sabra,Uyetake,1/29/79,803-925-5213,sabra@uyetake.org,98839 Hawthorne Blvd #6101,Columbia,29201,SC,1/10/14,VISA                     ,Anzamlax,75.99,3,1033.84
25,Sabra,Uyetake,1/29/79,803-925-5213,sabra@uyetake.org,98839 Hawthorne Blvd #6101,Columbia,29201,SC,1/10/14,VISA                     ,Statquaddax,85.99,4,1033.84
26,Carma,Vanheusen,3/13/79,510-503-7169,carma@cox.net,4 Bloomfield Ave,Irving,75061,TX,11/10/15,ACH                      ,Duo-Kix,41.99,1,401.95
26,Carma,Vanheusen,3/13/79,510-503-7169,carma@cox.net,4 Bloomfield Ave,Irving,75061,TX,11/10/15,ACH                      ,Qvo-Is,89.99,4,401.95
27,Tammara,Wardrip,3/8/79,650-803-1936,twardrip@cox.net,4800 Black Horse Pike,Burlingame,94010,CA,8/21/15,ACH                      ,Solo-In,7.99,1,7.99
28,Lorrie,Nestle,1/28/79,931-875-6644,lnestle@hotmail.com,501 N 19th Ave,Cherry Hill,8002,NJ,4/29/14,BANK ACCOUNT             ,Spanfind,21.99,3,598.91
28,Lorrie,Nestle,1/28/79,931-875-6644,lnestle@hotmail.com,501 N 19th Ave,Cherry Hill,8002,NJ,4/29/14,BANK ACCOUNT             ,Ecoeco,86.99,1,598.91
28,Lorrie,Nestle,1/28/79,931-875-6644,lnestle@hotmail.com,501 N 19th Ave,Cherry Hill,8002,NJ,4/29/14,BANK ACCOUNT             ,Trans Zimnix,89.99,3,598.91
28,Lorrie,Nestle,1/28/79,931-875-6644,lnestle@hotmail.com,501 N 19th Ave,Cherry Hill,8002,NJ,4/29/14,BANK ACCOUNT             ,Vilaity,87.99,2,598.91
29,Cecily,Hollack,2/8/79,512-486-3817,cecily@hollack.org,1 Huntwood Ave,Phoenix,85017,AZ,11/14/16,VISA                     ,Mat Danin,23.99,4,95.96
30,Erick,Ferencz,1/21/79,907-741-1044,erick.ferencz@aol.com,20 S Babcock St,Fairbanks,99712,AK,1/2/14,BANK ACCOUNT             ,Mat Danin,55.99,4,223.96
31,Gladys,Rim,12/25/78,414-661-9598,gladys.rim@rim.org,2239 Shawnee Mission Pky,Tullahoma,37388,TN,5/6/13,ACH                      ,Spanfind,58.99,4,912.84
31,Gladys,Rim,12/25/78,414-661-9598,gladys.rim@rim.org,2239 Shawnee Mission Pky,Tullahoma,37388,TN,5/6/13,ACH                      ,Spanfind,72.99,3,912.84
31,Gladys,Rim,12/25/78,414-661-9598,gladys.rim@rim.org,2239 Shawnee Mission Pky,Tullahoma,37388,TN,5/6/13,ACH                      ,Dentodox,5.99,1,912.84
31,Gladys,Rim,12/25/78,414-661-9598,gladys.rim@rim.org,2239 Shawnee Mission Pky,Tullahoma,37388,TN,5/6/13,ACH                      ,Spanfind,75.99,4,912.84
31,Gladys,Rim,12/25/78,414-661-9598,gladys.rim@rim.org,2239 Shawnee Mission Pky,Tullahoma,37388,TN,5/6/13,ACH                      ,Temp Tip,36.99,4,912.84
32,Ezekiel,Chui,1/4/79,410-669-1642,ezekiel@chui.com,4646 Kaahumanu St,Hackensack,7601,NJ,12/6/15,ACH                      ,Spanfind,37.99,2,390.93
32,Ezekiel,Chui,1/4/79,410-669-1642,ezekiel@chui.com,4646 Kaahumanu St,Hackensack,7601,NJ,12/6/15,ACH                      ,Donis,42.99,1,390.93
32,Ezekiel,Chui,1/4/79,410-669-1642,ezekiel@chui.com,4646 Kaahumanu St,Hackensack,7601,NJ,12/6/15,ACH                      ,Stimstring,67.99,4,390.93
33,Timothy,Mulqueen,2/27/79,718-332-6527,timothy_mulqueen@mulqueen.org,7 Benton Dr,Honolulu,96819,HI,3/16/15,VISA                     ,Vilaity,96.99,2,467.92
33,Timothy,Mulqueen,2/27/79,718-332-6527,timothy_mulqueen@mulqueen.org,7 Benton Dr,Honolulu,96819,HI,3/16/15,VISA                     ,Redtom,90.99,2,467.92
33,Timothy,Mulqueen,2/27/79,718-332-6527,timothy_mulqueen@mulqueen.org,7 Benton Dr,Honolulu,96819,HI,3/16/15,VISA                     ,Trans Zimnix,22.99,4,467.92
34,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,12/18/14,BANK ACCOUNT             ,Donis,64.99,4,604.84
34,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,12/18/14,BANK ACCOUNT             ,Solo-In,4.99,4,604.84
34,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,12/18/14,BANK ACCOUNT             ,Donnix,10.99,4,604.84
34,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,12/18/14,BANK ACCOUNT             ,Stimstring,85.99,3,604.84
34,Dyan,Oldroyd,1/18/79,913-413-4604,doldroyd@aol.com,7219 Woodfield Rd,Overland Park,66204,KS,12/18/14,BANK ACCOUNT             ,Ecoeco,22.99,1,604.84
35,Lavera,Perin,1/20/79,305-606-7291,lperin@perin.org,798 Lund Farm Way,Rockaway,7866,NJ,12/2/14,MASTER CARD              ,Stimstring,37.99,4,169.95
35,Lavera,Perin,1/20/79,305-606-7291,lperin@perin.org,798 Lund Farm Way,Rockaway,7866,NJ,12/2/14,MASTER CARD              ,Donis,17.99,1,169.95
36,Albina,Glick,1/10/79,732-924-7882,albina@glick.com,4 Ralph Ct,Dunellen,8812,NJ,7/1/13,ACH                      ,Mat Danin,94.99,3,340.93
36,Albina,Glick,1/10/79,732-924-7882,albina@glick.com,4 Ralph Ct,Dunellen,8812,NJ,7/1/13,ACH                      ,Anzamlax,8.99,3,340.93
36,Albina,Glick,1/10/79,732-924-7882,albina@glick.com,4 Ralph Ct,Dunellen,8812,NJ,7/1/13,ACH                      ,Ecoeco,28.99,1,340.93
37,Carmelina,Lindall,2/9/79,303-724-7371,carmelina_lindall@lindall.com,2664 Lewis Rd,Littleton,80126,CO,7/23/15,VISA                     ,Zer Dax,90.99,1,350.94
37,Carmelina,Lindall,2/9/79,303-724-7371,carmelina_lindall@lindall.com,2664 Lewis Rd,Littleton,80126,CO,7/23/15,VISA                     ,Zer Dax,79.99,1,350.94
37,Carmelina,Lindall,2/9/79,303-724-7371,carmelina_lindall@lindall.com,2664 Lewis Rd,Littleton,80126,CO,7/23/15,VISA                     ,Ecoeco,44.99,4,350.94
38,Jina,Briddick,1/23/79,617-399-5124,jina_briddick@briddick.com,32860 Sierra Rd,Miami,33133,FL,12/11/13,ACH                      ,Dentodox,43.99,1,338.94
38,Jina,Briddick,1/23/79,617-399-5124,jina_briddick@briddick.com,32860 Sierra Rd,Miami,33133,FL,12/11/13,ACH                      ,Stimstring,80.99,3,338.94
38,Jina,Briddick,1/23/79,617-399-5124,jina_briddick@briddick.com,32860 Sierra Rd,Miami,33133,FL,12/11/13,ACH                      ,Statquaddax,25.99,2,338.94
39,Graciela,Ruta,3/21/78,440-780-8425,gruta@cox.net,8 Industry Ln,New York,10002,NY,7/11/16,ACH                      ,K-qvokix,56.99,3,350.93
39,Graciela,Ruta,3/21/78,440-780-8425,gruta@cox.net,8 Industry Ln,New York,10002,NY,7/11/16,ACH                      ,Solo-In,49.99,2,350.93
39,Graciela,Ruta,3/21/78,440-780-8425,gruta@cox.net,8 Industry Ln,New York,10002,NY,7/11/16,ACH                      ,Runhome,39.99,2,350.93
